"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"175","Herbert Jones","NOR","SF","61","118","89.0","20.2"
"176","Devin Vassell","SAS","SG,SF DTD","76","105","89.8","11.4"
"177","T.J. Warren","BKN","SF,PF","161","228","193.9","27.3"
"178","Killian Hayes","DET","PG,SG DTD","173","218","194.4","17.5"
"179","Otto Porter Jr.","TOR","SF,PF","178","239","195.7","19.7"
"180","Joe Ingles","MIL","SG,SF,PF IR","114","302","175.0","65.7"
"181","Jaden Ivey","DET","PG","111","225","175.7","42.1"
"182","Anfernee Simons","POR","PG,SG OUT","68","114","98.0","17.8"
"183","Rui Hachimura","WAS","SF,PF","166","245","201.9","29.2"
"184","Montrezl Harrell","PHI","PF,C","136","240","180.3","30.6"
"185","Maxi Kleber","DAL","PF,C","165","232","204.1","20.6"
"186","Jonathan Kuminga","GSW","SF,PF","153","252","204.3","36.3"
"187","Josh Richardson","SAS","SG,SF DTD","171","259","204.7","34.1"
"188","Jabari Smith Jr.","HOU","PF","70","257","183.8","75.2"
"189","Isaac Okoro","CLE","SG,SF","169","307","205.4","44.4"
"190","Kevon Looney","GSW","PF,C","171","246","206.7","24.3"
"191","Xavier Tillman","MEM","PF,C","167","259","206.9","30.7"
"192","Coby White","CHI","PG,SG","159","267","207.3","30.2"
"193","Nickeil Alexander-Walker","UTH","SG,SF,PG","96","287","188.8","66.0"
"194","Thaddeus Young","TOR","PF,C,SF","116","306","209.7","65.0"
"195","Reggie Bullock","DAL","SG,SF","179","237","210.0","20.4"
"196","Patrick Beverley","LAL","PG,SG","170","244","211.1","22.5"
"197","Jalen Smith","IND","PF,C","89","208","121.8","49.9"
"198","Alec Burks","DET","SG,SF","192","262","213.9","24.0"
"199","Precious Achiuwa","TOR","SF,PF,C","177","231","215.0","16.1"
"200","Dennis Schroder","FA","PG FA","126","325","196.5","66.5"
"201","Derrick Rose","NYK","PG,SG","157","315","215.9","66.7"
"202","P.J. Tucker","PHI","PF,C,SF","183","245","217.3","18.8"
"203","Lonnie Walker IV","LAL","SG,SF","188","264","217.3","27.7"
